ticket_id,topic,resolution_status,sentiment_score
86451bf2-4bd3-4f56-988d-7a08e331dc77,Question about Ingredients,Open,-0.56
8427fa7c-203f-40a1-88b9-4284e5d57962,Billing Error,Resolved,-0.81
c279c685-3b21-475a-9a79-0ded6f133e56,Question about Ingredients,Closed,-0.96
2d25758f-2822-41db-a62a-6638846924ed,Billing Error,Closed,-0.24
b782d3dc-8456-4685-b755-8bc306a5ad8f,Missing Item in Delivery,Open,0.48
a78686b4-79a0-451c-804b-c207e462018c,Question about Ingredients,Closed,-0.79
4a6fbc58-3b24-4dea-a6f7-5b6c6e5e1b4f,Missing Item in Delivery,Open,-0.91
5509d49c-b0fc-413a-b00d-04288511f6a0,Billing Error,Closed,0.31
36717dca-96dd-4b62-9a34-c1b7cfc86dd8,Missing Item in Delivery,Resolved,0.41
089af9ee-d8d0-43ff-b483-29987212705f,Missing Item in Delivery,Open,-0.38
22334ca1-a67c-46c8-aeb5-c45f0e7d0859,Billing Error,Resolved,-0.05
9b402dac-5896-4e04-bb23-417ea7b5070a,Billing Error,Resolved,0.02
6531b64a-476c-4cbb-873b-7d8bd73b85ed,Damaged Packaging,Open,-0.84
f78cb551-8075-47fa-b36f-8212a5dcae55,Billing Error,Resolved,-0.76
44176a3b-d7b0-46bd-9782-e7e96da1a088,Question about Ingredients,Open,-0.21
75544e9c-67d3-4763-a0f9-e8e5f08bf8be,Missing Item in Delivery,Open,-0.39
528b3c69-2905-47da-b91c-fdae4d59d913,Expired Product,Resolved,-0.44
89503547-7544-4881-a4ec-4e7c367371a7,Question about Ingredients,Resolved,-0.49
4e4b6404-d6da-4287-b6ef-c3a64b047bad,Expired Product,Resolved,-0.68
7010b3a2-fcfc-462b-b103-336c981ec3d7,Question about Ingredients,Open,0.12
d170bdd6-e3bc-4c25-832e-efe7ca8c70a5,Billing Error,Open,-0.04
475ca895-8dee-49ba-9fb3-0627a7e1942d,Question about Ingredients,Open,-0.11
3bf2075d-c0ce-4247-b469-6a12f4367ff1,Billing Error,Closed,0.12
afef1230-98d8-433e-877e-3b267be6fdce,Missing Item in Delivery,Resolved,-0.56
18273dc2-2204-4d77-82cb-59b2711e6db9,Damaged Packaging,Closed,0.22
80b05364-408f-40c9-94fe-07d44cfb8bc4,Missing Item in Delivery,Closed,0.43
42dc9949-1c9f-44ef-b8c3-0df92ab50a65,Question about Ingredients,Closed,-0.87
15745355-5902-4e9c-8dc7-3c6c48cccad1,Billing Error,Closed,0.41
2329598d-fdd6-421b-9f6d-ea943d8ab88d,Damaged Packaging,Open,-0.41
d971f704-b90d-4a5c-abe1-d0f5bd135d9a,Question about Ingredients,Closed,-0.89
369960cc-6123-4574-84b5-808fcebe57fd,Missing Item in Delivery,Resolved,-0.22
e272f288-6404-4619-933e-622c6a577347,Expired Product,Open,0.43
